[ 2026-09-22 20:39:12,148 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-22 20:39:37,704 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-09-22 20:39:37,704 ] 67 root - INFO - Exporting train and test file path.
[ 2026-09-22 20:39:37,805 ] 74 root - INFO - Exported train and test file path.
[ 2026-09-22 20:39:37,805 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-22 20:39:37,822 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-22 20:39:37,870 ] 32 root - INFO - Required number of columns:2
[ 2026-09-22 20:39:37,871 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-22 20:39:37,871 ] 32 root - INFO - Required number of columns:2
[ 2026-09-22 20:39:37,871 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-22 20:39:38,167 ] 28 root - INFO - data Validation Completed
[ 2026-09-22 20:39:38,167 ] 31 root - INFO - data Transformation started
[ 2026-09-22 20:39:38,167 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-22 20:39:38,167 ] 65 root - INFO - Starting data transformation
[ 2026-09-22 20:39:38,214 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-22 20:39:38,214 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-22 20:39:38,234 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 20:39:38,239 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 20:39:38,240 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 20:39:38,244 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 20:39:38,245 ] 35 root - INFO - data Transformation completed
[ 2026-09-22 20:39:38,245 ] 37 root - INFO - Model Training sstared
[ 2026-09-22 20:42:56,349 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 20:42:56,366 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 20:42:56,366 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 20:42:56,379 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 20:42:56,379 ] 141 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_22_2026_20_39_10\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908480780964003, precision_score=0.9886363636363636, recall_score=0.9930697105584998), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9761715647339158, precision_score=0.9700078926598263, recall_score=0.982414068745004))
[ 2026-09-22 20:42:56,381 ] 42 root - INFO - Model Training artifact created
